LMK_KEY,ADDRESS1,ADDRESS2,ADDRESS3,POSTCODE,BUILDING_REFERENCE_NUMBER,CURRENT_OPERATIONAL_RATING,YR1_OPERATIONAL_RATING,YR2_OPERATIONAL_RATING,OPERATIONAL_RATING_BAND,ELECTRIC_CO2,HEATING_CO2,RENEWABLES_CO2,PROPERTY_TYPE,INSPECTION_DATE,LOCAL_AUTHORITY,CONSTITUENCY,COUNTY,LODGEMENT_DATE,MAIN_BENCHMARK,MAIN_HEATING_FUEL,OTHER_FUEL,SPECIAL_ENERGY_USES,RENEWABLE_SOURCES,TOTAL_FLOOR_AREA,ANNUAL_THERMAL_FUEL_USAGE,TYPICAL_THERMAL_FUEL_USAGE,ANNUAL_ELECTRICAL_FUEL_USAGE,TYPICAL_ELECTRICAL_FUEL_USAGE,RENEWABLES_FUEL_THERMAL,RENEWABLES_ELECTRICAL,YR1_ELECTRICITY_CO2,YR2_ELECTRICITY_CO2,YR1_HEATING_CO2,YR2_HEATING_CO2,YR1_RENEWABLES_CO2,YR2_RENEWABLES_CO2,AIRCON_PRESENT,AIRCON_KW_RATING,ESTIMATED_AIRCON_KW_RATING,AC_INSPECTION_COMMISSIONED,BUILDING_ENVIRONMENT,BUILDING_CATEGORY,ADDRESS,LOCAL_AUTHORITY_LABEL,CONSTITUENCY_LABEL,CERTIFICATE_HASH
891020131022041053,,"31, Jewry Street",,EC3N 2EY,711128360000,43,46,60,B,129,127,0,University Campus,2013-10-21,E09000001,E14000639,Greater London Authority,2013-10-22,University Campus,Natural Gas,,,,6475.9,101,249,36,80,0,0,127,162,116,179,0,0,Yes,,2,5,Mixed-mode with Natural Ventilation,S4;,"31, Jewry Street",City of London,Cities of London and Westminster,1316fdda562b3e867b5a4b364b33d2df1e61a91def1ad6cb4f2c074bed06c319
235520130121080143,,Shoe Lane Library Hill House,1 Little New Street,EC4A 3JR,132396620000,173,,,G,128,12,0,Cultural Activities,2013-01-17,E09000001,E14000639,Greater London Authority,2013-01-21,Cultural Activities,Natural Gas,,,,1080,56,187,216,70,0,0,,,,,,,Yes,,3,5,Air Conditioning,H4;,"Shoe Lane Library Hill House, 1 Little New Street",City of London,Cities of London and Westminster,a88057f4b9074fd1695acecdef493369f9a24554ed0da40e72c5614c20276e45
69606620130709110752,,City of London Police,"Section House Bernard Morgan House, 43 Golden Lane",EC1Y 0RS,702100300000,57,,,C,76,172,0,Long Term Residential; Covered Car Park; Fitness And Health Centre,2013-02-28,E09000001,E14000639,Greater London Authority,2013-07-09,Long Term Residential,Natural Gas,,,,4096.39,216,373,34,63,0,0,,,,,,,No,,,4,Heating and Natural Ventilation,S7; S1; H7;,"City of London Police, Section House Bernard Morgan House, 43 Golden Lane",City of London,Cities of London and Westminster,3d4e17a9fad3b9b999c283fe106b7c64fdcce47e5a1dbc3e3bc84d61d6ab19d4
71635920130722110741,,Magistrates Court,1 Queen Victoria Street,EC4N 4YA,225696110000,80,,,D,197,46,0,General Office,2013-06-21,E09000001,E14000639,Greater London Authority,2013-07-22,General Office,Natural Gas,,,,3974,60,125,90,95,0,0,,,,,,,Yes,,2,1,Air Conditioning,C1;,"Magistrates Court, 1 Queen Victoria Street",City of London,Cities of London and Westminster,59ccd2a1c8c3fe024e21f9f4d612be6650459d26db0491d5c39fa24df5f56da3
50136820151112111157,,Beaufort Underwriting Agency Ltd,1 Minster Court,EC3R 7AA,668126210000,341,,,G,196,28,0,General Office,2015-11-05,E09000001,E14000639,Greater London Authority,2015-11-12,General Office,Natural Gas,,,,909,158,103,393,95,0,0,,,,,,,Yes,,3,5,Heating and Mechanical Ventilation,C1;,"Beaufort Underwriting Agency Ltd, 1 Minster Court",City of London,Cities of London and Westminster,6a007b8a9628b14be2be927d030dfa10a7426ceefbb4bf7d6d1bfc0595a6d5df
50285720111117091140,KENTON & LUCAS BLOCK,Barts and The London NHS Trust,St. Bartholomew's Hospital,EC1A 7BE,558220410022,101,118,,E,301,185,0,Hospital - Clinical And Research,2011-11-08,E09000001,E14000639,Greater London Authority,2011-11-17,Hospital - Clinical And Research,Natural Gas,,,,3742.06,248,407,146,90,0,0,400,,197,,0,,No,,,4,Mixed-mode with Mechanical Ventilation,S6;,"KENTON & LUCAS BLOCK, Barts and The London NHS Trust, St. Bartholomew's Hospital",City of London,Cities of London and Westminster,ffab2b45470e98cdf89bcc0996cb89664a7cab4e73f8d53a81caab2be6e1a899
50285720140411070438,KENTON & LUCAS BLOCK,Barts and The London NHS Trust,St. Bartholomew's Hospital,EC1A 7BE,558220410022,318,65,101,G,1407,196,0,Hospital - Clinical And Research,2013-11-12,E09000001,E14000639,Greater London Authority,2014-04-11,Hospital - Clinical And Research,Natural Gas,,,,3766,269,435,679,90,0,0,102,301,202,185,0,0,No,,,4,Heating and Mechanical Ventilation,S6;,"KENTON & LUCAS BLOCK, Barts and The London NHS Trust, St. Bartholomew's Hospital",City of London,Cities of London and Westminster,48eb2cab16994e82e68b40871b17a651f6985bdef42d8695cb43b9e6e9510c74
58108120120109010119,ROLLS BUILDING,"110, Fetter Lane",,EC4A 1ES,681375370004,0,,,A,0,0,,General Office,2011-12-13,E09000001,E14000639,Greater London Authority,2012-01-09,General Office,Natural Gas,,,,14785.057,0,0,0,0,0,0,,,,,,,No,,,4,Air Conditioning,C1;,"ROLLS BUILDING, 110, Fetter Lane",City of London,Cities of London and Westminster,a45e0ec5bf634446828285a499ad15b663569a74270a472aba2c57bdea2dab2e
89761920150527040520,,Royal Bank of Canada,"Thames Court, 1 Queenhithe",EC4V 3DQ,815736200000,450,,,G,3063,224,0,General Office,2014-03-12,E09000001,E14000639,Greater London Authority,2015-05-27,General Office,Grid Supplied Electricity,,,,9660,115,121,577,95,0,0,,,,,,,Yes,,3,5,Air Conditioning,C1;,"Royal Bank of Canada, Thames Court, 1 Queenhithe",City of London,Cities of London and Westminster,7fcf87f1bae7c250ce82e4cee089e8123f7aab0b07c4aae13f2bd83a4bc096e9
96759820160921050949,,Royal Courts of Justice,"Rolls Building, Fetter Lane",EC4A 1NL,304257660000,95,105,112,D,1088,482,0,General Office,2016-09-12,E09000001,E14000639,Greater London Authority,2016-09-21,General Office,Natural Gas,,,,22707,109,106,87,95,0,0,1284,1390,472,462,0,0,Yes,,3,3,Air Conditioning,C1;,"Royal Courts of Justice, Rolls Building, Fetter Lane",City of London,Cities of London and Westminster,2605b728c88652773f0ba997901b4bef48ce272833bda355b763519b597a261c
